TMDb-MovieId,IMDb-MovieId,Movie-Title,Original-Language,Popularity,Release-Date,Runtime,Production-Companies,Production-Countries,Budget,Revenue,Genre,Writer,Director,Actor,Rating
241771,tt3125324,Beyond the Lights,en,7.998,2014-11-14,116,"Black Entertainment Television (BET),Relativity Media,Relativity Sports,Undisputed Cinema,Homegrown Pictures",United States of America,7000000,14618727,"Drama,Music,Romance",Gina Prince-Bythewood,Gina Prince-Bythewood,"Gugu Mbatha-Raw,Nate Parker,Minnie Driver",6.8
261037,tt3128900,Miss Meadows,en,11.416,2014-09-12,88,"Entertainment One,Wiretap Films",United States of America,2000000,0,"Comedy,Crime,Drama",Karen Leigh Hopkins,Karen Leigh Hopkins,"Katie Holmes,James Badge Dale,Callan Mulvey",5.8
299221,tt3130734,Phantom Halo,en,7.661,2014-10-24,87,"Optimism Entertainment,Station 8 Films",United States of America,0,0,"Crime,Drama,Thriller","Antonia Bogdanovich,Anne Heffron",Antonia Bogdanovich,"Thomas Brodie-Sangster,Rebecca Romijn,Luke Kleintank",5.2
273964,tt3134422,Gold,en,2.216,2014-02-20,88,"Subotica Entertainment,Gloucester Place Films",Ireland,0,0,"Comedy,Drama,Family","Brendan Heery,Niall Heery",Niall Heery,"James Nesbitt,Maisie Williams,David Wilmot",6.1
287426,tt3136112,Shelter,en,7.824,2014-09-12,105,"The Bridge Finance Company,Bifrost Pictures",United States of America,0,0,Drama,Paul Bettany,Paul Bettany,"Adolfo Mendez-Nouel,Anthony Mackie,Kevin Arnold Hoffman",6.5
317953,tt3121562,Spud 3: Learning to Fly,en,2.474,2014-12-16,89,Rogue Star Films,South Africa,0,0,Comedy,John Van De Ruit,John Barker,"Troye Sivan,Sven Ruygrok,Blessing Xaba",5.7
343829,tt3105662,Breaking the Bank,en,2.232,2016-06-03,106,Black Hangar Studios,United Kingdom,0,0,Comedy,"Roger Devlin,Vadim Jean,Stephen Keyworth",Vadim Jean,"Kelsey Grammer,John Michael Higgins,Sonya Cassidy",4.8
226140,tt3106120,See No Evil 2,en,8.378,2014-10-21,90,"WWE Studios,Lionsgate",United States of America,0,0,"Action,Horror,Thriller","Nathan Brookes,Bobby Lee Darby","Jen Soska,Sylvia Soska","Glenn Jacobs,Danielle Harris,Katharine Isabelle",4.7
262958,tt3110960,Jimmy's Hall,en,5.256,2014-05-30,106,"Why Not Productions,Sixteen Films,Element Pictures,Wild Bunch,BFI,Film4 Productions,Screen Ireland,Canal+,Ciné+,France 2 Cinéma,France Télévisions,Le Pacte,Les Films du Fleuve,Longride","Belgium,France,Ireland,Japan,United Kingdom",0,4825184,"Biography,Drama,History","Paul Laverty,Donal O&apos;Kelly",Ken Loach,"Barry Ward,Francis Magee,Aileen Henry",6.7
406996,tt3112264,Little Pieces,en,0.6,2015-06-06,80,Apple Park Films,United Kingdom,7928,0,Drama,Adam Nelson,Adam Nelson,"Finnian Nainby-Luxmore,Matthew William Jones,Isabelle Glinn",7.1
