Movie,Aggregate-Rating
#Stuck,6.3
'71,5.9
10.0 Earthquake,6.1
112 Weddings,6.7
13 Sins,4.3
16 And Missing,6.0
20 Ft Below: The Darkness Descending,5.5
21 Days,6.3
21 Years: Richard Linklater,6.9
22 Jump Street,6.4
23 Blast,7.6
25 April,6.3
3 Days to Kill,4.1
3 Nights in the Desert,6.7
4 Minute Mile,7.1
400 Days,6.5
4Got10,6.4
5 Flights Up,7.2
5 to 7,6.3
6 Years,6.3
7 Minutes,6.7
88,6.2
911 Nightmare,7.6
99 Homes,6.1
A Brave Heart: The Lizzie Velasquez Story,8.7
A Brony Tale,6.7
A Christmas Horror Story,4.8
A Christmas Star,7.2
A Dogwalker's Christmas Tale,7.0
A Good American,7.9
A Good Marriage,8.2
A Haunted House 2,5.1
A Little Chaos,5.8
A Long Way Down,6.6
A Long Way Off,7.8
A Matter of Faith,8.1
A Merry Friggin' Christmas,8.3
A Million Ways to Die in the West,4.4
A Most Violent Year,4.3
A Most Wanted Man,7.0
A Very Murray Christmas,8.3
A Walk Among the Tombstones,6.6
A Warden's Ransom,7.2
A Wonderful Christmas Time,8.9
ABCs of Death 2,3.7
About Alex,6.3
About Last Night,6.7
Addicted,6.9
Addicted to Fresno,6.4
Adult Beginners,6.7
Adulterers,5.7
After the Ball,7.2
Afterimages,5.7
Against Night,6.0
Against the Sun,7.6
Against the Wild,6.1
Age of Ice,6.5
Airplane vs Volcano,5.5
Alex & Eve,6.7
Alex of Venice,6.4
Algorithm,6.8
Alien Abduction,4.1
Alien Outpost,6.3
Alive Inside,8.0
All Hallows' Eve 2,6.7
Aloft,6.9
Already Tomorrow in Hong Kong,6.5
Altar,6.4
American Heist,6.4
American Hero,7.6
Amira & Sam,6.9
Amnesiac,6.4
Among the Believers,6.0
Amy Schumer: Live at the Apollo,6.0
An Act of War,5.7
An American in Hollywood,6.2
An Evergreen Christmas,6.8
An Honest Liar,6.5
An Open Secret,5.5
Anatomy of a Love Seen,8.8
And So It Goes,6.9
Android Cop,5.9
Andron,5.8
Angry Video Game Nerd: The Movie,3.1
Animal,6.6
Annabelle,6.1
Annie,7.0
Apartment Troubles,5.7
Apocalypse Pompeii,6.1
Apocalyptic,3.9
Apparition,6.6
Appropriate Behavior,7.1
April Rain,6.8
Ashby,7.4
Ask Me Anything,6.6
Asteroid vs Earth,5.8
At the Devil's Door,4.0
Atlantic,6.3
Authors Anonymous,7.1
Autómata,6.2
Ava's Possessions,7.0
B.,6.3
Back in the Day,7.1
Back on Board: Greg Louganis,9.4
Backcountry,5.8
Bad Country,4.4
Bad Johnson,4.2
Bad Night,4.9
Band of Robbers,6.6
Bang Bang Baby,6.7
Barefoot,6.9
Before I Disappear,5.3
Before We Go,6.4
Being Charlie,6.7
Belly of the Bulldog,8.5
Berkshire County,4.9
Better Living Through Chemistry,8.4
Between Two Worlds,7.3
Beyond,7.1
Beyond the Lights,7.3
Beyond the Reach,6.5
Big Eyes,6.8
Big Game,7.4
Big Hero 6,8.7
Big Stone Gap,6.9
Bill Burr: I'm Sorry You Feel That Way,6.2
Billy Elliot: The Musical Live,6.5
Birdman or (The Unexpected Virtue of Ignorance),6.8
Bite,6.7
Black Eyed Children: Let Me In,6.0
Black Sea,6.2
Black or White,6.4
BlackJacks,6.6
Blackbird,6.5
Blackway,6.2
Blackwood,5.8
Blended,7.3
Blinky Bill the Movie,6.3
Blood Moon,6.3
Blood Punch,6.7
Blood Widow,5.7
Bloodmarsh Krackoon,7.0
Body,6.2
Bonobo,6.4
Boogaloo and Graham,7.0
Born to Race: Fast Track,6.1
Born to Win,8.7
Boulevard,6.6
Boychoir,7.7
Boyhood,6.7
Boys of Abu Ghraib,6.0
Break Point,7.0
Breaking Through,6.5
Breaking the Bank,5.2
Brick Mansions,6.6
Bridge of Spies,6.8
Broken Gardenias,6.5
Bullet,6.7
Bunker,5.9
Buzzard,6.6
By the Gun,6.0
By the Sea,7.1
Cabin Fever: Patient Zero,5.3
Call Girl of Cthulhu,6.9
Calvary,6.7
Camp Dread,4.6
Camp X-Ray,6.4
Cantinflas,6.6
Captain America: The Winter Soldier,6.6
Careful What You Wish For,7.9
Carter High,6.1
Caserta Palace Dream,7.0
Castles in the Sky,7.5
Cat Run 2,5.9
Catch Hell,4.3
Catch Me Daddy,7.3
Chance,7.8
Charlie's Farm,5.4
Checkmate,6.2
Chef,6.6
Chelsea Peretti: One of the Greats,7.2
Cherry Tree,6.6
Chi-Raq,5.9
Christian Mingle,6.6
Chrysalis,7.0
Closer to God,7.3
Clouds of Sils Maria,7.1
Clown,5.8
Cobain: Montage of Heck,6.2
Coconut Hero,8.6
Coffee Shop,6.8
Cold in July,6.6
Colonia,6.5
Comet,6.8
Committed,6.1
Connected,6.7
Consumed,6.7
Contracted: Phase II,6.8
Copenhagen,7.3
Corner Gas: The Movie,6.8
Cosmic Scrat-tastrophe,3.8
Court,6.1
Covert Operation,6.1
Cowspiracy: The Sustainability Secret,7.1
Creep,6.2
Criminal Activities,4.5
Cry Now,5.8
Cuban Fury,5.1
Curious George 3: Back to the Jungle,7.7
Curse of the Witching Tree,4.6
Cut Bank,5.4
Cut Snake,5.9
Cut!,5.8
Cutaway,6.6
Cymbeline,6.4
Da Sweet Blood of Jesus,7.6
DamNation,4.5
Dark Awakening,6.1
Dark Was the Night,6.3
Darling,8.5
Date and Switch,7.8
Dawn,5.7
Dawn of the Planet of the Apes,6.5
De Poel,5.6
Dead Rising,3.6
Dead Sea,4.3
Dead Within,3.3
Deadly Daycare,6.4
Deadly Virtues: Love. Honour. Obey.,9.4
Dear White People,7.3
Death of a Gentleman,5.6
Deathgasm,6.8
Debug,6.0
Deepsea Challenge 3D,6.5
Deliver Us from Evil,4.2
Desert Dancer,6.7
Devil's Due,3.4
Devil's Tower,3.8
Dig Two Graves,4.9
Digging Up the Marrow,6.7
Dinosaur Island,6.5
Divergent,6.8
Doc of the Dead,4.0
Dolphin Tale 2,7.0
Don't Blink,6.6
Don't Look Back,6.6
Done In,6.9
Double Daddy,6.1
Downriver,6.9
Dr. Cabbie,7.5
Dracula Untold,7.0
Draft Day,7.0
Drive Hard,6.1
Drunktown's Finest,7.4
Dumb and Dumber To,3.8
Dumbbells,7.4
Dying of the Light,3.8
E-Team,6.0
ETXR,6.7
Earth to Echo,6.7
East Side Sushi,7.5
Eat,7.4
Eat With Me,7.1
Echoes,6.4
Eden,6.2
Edge of Tomorrow,6.5
Effie Gray,7.0
Ejecta,6.4
El cerrajero,8.4
Electricity,6.6
Elephant Song,6.5
Elimination Game,6.2
Elsa & Fred,7.0
Elstree 1976,6.0
Emelie,5.4
Endless Love,8.9
Escobar: Paradise Lost,7.9
Everly,6.4
Every Secret Thing,6.2
Evil Bong 420,3.6
Ex Machina,7.0
Exists,6.4
Exodus: Gods and Kings,6.4
Expelled,5.7
Experimenter,6.4
Extinction,6.4
Extraterrestrial,6.2
Falcon Rising,6.6
Faults,6.2
Fear Clinic,4.2
Fear Itself,3.8
Fed Up,6.2
Felt,7.7
Field of Lost Shoes,4.9
Fields of the Dead,3.4
Finding Fanny,6.8
Fishing Without Nets,6.4
Flight 7500,5.8
Flight World War II,4.9
Flutter,6.6
Flying Home,7.3
Fort Bliss,8.3
Fort Tilden,7.6
Fotograf,6.1
Foxcatcher,6.2
Frank,7.0
Free the Nipple,7.9
Freedom,8.5
Freetown,6.8
Freezer,6.6
Fresh Dressed,7.8
From Bedrooms to Billions,6.9
From the Dark,7.2
Frontera,7.0
Full Contact,6.7
Fury,5.1
Gabriel,6.9
Garm Wars: The Last Druid,3.6
Get Santa,6.8
Get on Up,6.8
Ghost of Goodnight Lane,5.7
GirlHouse,5.6
Glass Chin,7.2
Glassland,7.1
God Help the Girl,8.6
God's Not Dead,5.3
God's Pocket,7.6
Godzilla,6.4
Going Bongo,6.0
Going Clear: Scientology and the Prison of Belief,5.7
Gold,6.7
Gone Girl,6.8
Good Kill,5.6
Good People,7.9
Goodbye to All That,6.6
Grace,8.2
Grace of Monaco,7.9
Grandma,6.8
Green Room,5.9
Group B,6.8
Growing Up and Other Lies,6.1
Guardians of the Galaxy,6.5
Gutshot Straight,7.0
Hackney's Finest,6.4
Hangman,6.6
Happy Christmas,8.9
Hard to Get,6.4
Haunting at the Rectory,4.4
He Took His Skin Off for Me,6.0
He Who Dares,6.9
He Who Dares: Downing Street Siege,6.8
Healing,7.0
Heaven Knows What,8.2
Heavenly Sword,8.9
Hector and the Search for Happiness,8.8
Heidi,6.7
Helicopter Mom,6.6
Hell House LLC,3.7
Hellion,6.4
Henry Gamble's Birthday Party,8.0
Hercules,7.0
Hercules Reborn,6.5
Hide and Seek,5.9
Highway to Dhampus,7.0
Hitchcock/Truffaut,6.6
Hits,7.0
Hitting the Apex,6.7
Holy Ghost,4.9
Honeymoon,7.0
Honeytrap,5.1
Honour,8.3
Hope,8.8
Horrible Bosses 2,4.7
Horsehead,5.9
Housebound,6.6
How to Train Your Dragon 2,6.8
Hungerford,6.5
Hungry Hearts,6.2
I Am Ali,7.8
I Am Big Bird: The Caroll Spinney Story,6.5
I Am Here,7.1
I Am Michael,6.8
I Am Soldier,6.8
I Am Steve McQueen,7.5
I Am Syd Stone,7.1
I Origins,7.2
I Spit on Your Grave III: Vengeance is Mine,4.4
I Survived a Zombie Holocaust,6.7
If I Stay,7.0
Imperial Dreams,6.6
In Your Eyes,7.0
In the Blood,5.9
India's Daughter,4.9
Indigenous,6.1
Infinitely Polar Bear,7.0
Inherent Vice,6.6
Inner Demons,5.7
Innocence,7.3
Interstellar,6.7
Into the Storm,6.5
Into the Woods,6.5
Intruders,6.3
Ironclad 2: Battle for Blood,6.9
Irrational Man,5.1
Island of Lemurs: Madagascar,7.3
It Follows,6.0
Jack Ryan: Shadow Recruit,6.4
Jamesy Boy,6.8
Jamie Marks Is Dead,4.2
Janis: Little Girl Blue,6.6
Jarhead 2: Field of Fire,6.1
Jason Nash Is Married,7.0
